names	super	sub	color	size	opacity
AK1	6	28	purple	9	0
RNASEL	3	29	purple	9	0
PPIP5K1	3	29	purple	9	0
IPMK	3	29	purple	9	0
PKN3	2	10	purple	9	0
NRK	5	14	purple	9	0
MAP3K9	5	4	purple	9	0
SRMS	6	3	purple	9	0
DDR1	5	4	purple	9	0
FASTKD5	2	1	purple	9	0
NPR1	6	16	purple	9	0
CDC42BPG	5	14	purple	9	0
CLK4	6	3	purple	9	0
COQ8B	6	3	purple	9	0
CDK10	4	18	purple	9	0
NRBP2	2	10	purple	9	0
ADCK1	5	4	purple	9	0
SBK1	6	3	purple	9	0
BCKDK	5	4	purple	9	0
PDK4	2	30	purple	9	0
CKMT2	4	31	purple	9	0
CDKL2	6	3	purple	9	0
GRK1	6	16	purple	9	0
GRK7	6	16	purple	9	0
WNK3	7	11	purple	9	0
HUNK	5	4	purple	9	0
