KinaseNames	FastGreedyCommunity	SpinGlassCommunity	WalkTrapCommunity	LeadingEigenvectorCommunity	LabelPropogationCommunity	MCODEcommunity
GUC2D	6	6	97	1	1	0
EPHB4	6	6	49	1	1	1
KAD2	8	1	98	1	1	0
KHK	2	9	99	1	1	0
TNIK	1	8	40	2	1	1
PDXK	2	9	100	1	1	0
MELK	5	5	12	1	1	0
SLK	2	9	101	1	1	0
ROR1	3	2	3	1	1	0
VRK1	4	4	42	1	1	1
VRK3	4	4	42	2	1	0
P4K2B	2	7	13	1	1	1
PGK1	4	7	102	1	1	0
BRAF	3	2	21	2	1	1
KPCD2	4	4	14	1	1	1
BLK	3	4	3	1	1	1
KC1E	4	4	1	1	1	1
CSKP	4	4	35	1	1	0
HIPK1	4	4	103	1	1	0
SIK3	5	5	9	2	1	1
EPHA1	6	6	49	1	1	1
ULK2	5	5	9	2	1	1
MRCKB	6	8	31	1	1	0
ULK1	5	5	9	1	1	1
MAST1	4	4	104	2	1	1
MAST3	5	5	9	1	1	1
M3KL4	1	8	105	1	1	0
DYR1A	1	8	7	2	1	1
SRPK1	4	4	14	1	1	1
SRPK2	4	4	33	1	1	1
NUAK1	5	4	1	1	1	1
LRRK2	4	4	8	1	1	1
NDK7	4	4	106	1	1	0
TESK1	7	3	107	2	1	0
RIOK3	1	6	40	1	1	0
K6PP	7	3	48	1	2	1
PLK2	4	4	35	1	1	0
PDK3	2	9	108	1	1	0
KAPCB	3	2	21	2	1	1
SIK2	5	5	9	1	1	1
KGP1	3	6	37	2	1	1
SIK1	5	5	9	2	1	1
MTOR	2	9	21	1	1	1
STK38	4	4	14	1	1	1
PTK7	6	6	109	1	1	0
TTK	4	4	19	2	1	1
NRBP	2	9	110	1	1	0
KS6A6	3	2	3	2	1	1
PIM2	2	9	111	1	1	0
DDR1	4	4	112	1	1	1
MOK	5	5	113	1	1	0
DYRK2	4	4	114	1	1	0
FAKD5	1	6	26	1	1	0
CDK13	4	4	115	3	1	1
CDK16	4	4	30	1	1	1
BRD2	4	4	116	1	1	0
ANPRA	3	2	37	2	1	1
KCRM	4	4	117	1	1	0
KAPCG	3	2	21	2	1	1
CDK17	4	4	30	2	1	0
ADCK3	1	8	23	1	1	1
CD11A	4	4	46	1	1	1
ROS1	4	4	21	2	1	1
CDK20	4	4	118	2	1	1
MAK	4	4	119	1	1	0
BRD3	4	4	120	1	1	0
CD11B	4	4	46	1	1	1
CDK15	4	4	16	1	1	0
CDK19	4	4	121	1	1	1
CDK8	4	4	122	1	1	1
MRCKG	2	9	123	1	1	0
KAD1	4	4	124	1	1	0
CDK3	4	4	14	1	1	1
EPHA7	6	6	49	1	1	1
M4K3	1	8	125	1	1	0
RIOK2	4	4	27	1	1	1
RIOK1	4	4	27	2	1	1
PINK1	1	4	14	1	1	1
ICK	4	4	2	11	1	0
HXK1	2	9	21	1	1	1
GRK5	4	4	14	1	1	1
BMP2K	3	6	126	2	1	0
FRK	4	6	21	5	1	1
ROR2	6	9	28	1	1	0
HASP	4	4	127	1	1	0
PRP4B	4	4	41	5	1	1
GWL	3	2	128	2	1	0
CLK4	4	4	129	1	1	0
HIPK4	3	2	130	2	1	0
CDK14	4	4	2	1	1	1
DYRK4	4	4	131	1	1	0
CDK18	4	4	16	1	1	1
STYK1	2	9	132	1	1	0
CDK12	4	4	133	1	1	0
DCLK3	4	4	134	1	1	0
CDKL3	4	4	135	1	1	0
CLK1	4	4	33	1	1	1
SRPK3	4	4	41	5	1	1
AURKC	4	4	136	1	1	1
ARBK2	4	4	137	1	1	0
ADCK4	2	9	138	1	1	0
PRPK	4	4	14	1	1	1
KCC1G	5	4	139	1	1	1
NEK1	4	4	8	1	1	1
STK33	4	4	140	1	1	1
DYRK3	4	4	141	1	1	0
STK40	4	4	29	1	1	0
TSSK2	4	4	142	1	1	0
TRIB2	4	4	8	1	1	0
EPHA5	6	6	3	1	1	1
PAK7	6	4	47	2	1	1
DCLK2	4	4	143	1	1	0
KT3K	3	2	144	2	1	0
PRKX	3	10	21	2	1	1
ACV1C	4	10	24	1	1	1
PCKGM	5	5	9	1	1	1
EPHA6	6	6	49	1	1	1
FLT3	2	9	50	1	1	0
NEK10	1	8	145	5	1	0
MYLK3	1	8	7	5	1	1
KC1G2	4	4	146	1	1	1
PKN3	3	10	147	2	1	0
E2AK1	4	4	148	1	1	1
KC1G1	4	4	149	1	1	1
NEK3	4	4	150	1	1	0
EPHAA	6	6	49	1	1	1
MINK1	4	4	151	1	1	0
PRKY	1	8	152	5	1	1
KC1G3	4	4	153	1	1	0
