,0,1,2,3,4,5,6,7,8,9,10,11
split11_train_score,0.10527171939611435,0.10986034572124481,0.10829293727874756,0.1056191548705101,0.11052374541759491,0.10306741297245026,0.10402966290712357,0.10579343140125275,0.11178112775087357,0.10707511752843857,0.10416053980588913,0.10511273145675659
split12_train_score,0.11785932630300522,0.10200802981853485,0.10628664493560791,0.10251098871231079,0.10633591562509537,0.1142614483833313,0.10404588282108307,0.10591865330934525,0.1059543713927269,0.1077747792005539,0.10856809467077255,0.10420886427164078
split13_train_score,0.10716285556554794,0.11036624759435654,0.10463324189186096,0.11380892246961594,0.11414047330617905,0.10539504140615463,0.11785464733839035,0.10918354243040085,0.10368254035711288,0.10630448162555695,0.10617917776107788,0.10656888782978058
split14_train_score,0.10281852632761002,0.1065869852900505,0.10334954410791397,0.11218886077404022,0.1020328477025032,0.10367689281702042,0.10435912758111954,0.10397545993328094,0.10416103154420853,0.10378875583410263,0.10625268518924713,0.10254636406898499
split15_train_score,0.10341408848762512,0.10675401240587234,0.11108686029911041,0.10921960324048996,0.10439174622297287,0.10798579454421997,0.1064772978425026,0.11147068440914154,0.10415362566709518,0.10498126596212387,0.10995656251907349,0.10320337861776352
split16_train_score,0.10816764831542969,0.1069192886352539,0.10125160962343216,0.10630180686712265,0.11404483020305634,0.1028594970703125,0.10377559810876846,0.105862095952034,0.10172251611948013,0.10493209958076477,0.10307706892490387,0.10473048686981201
split17_train_score,0.104762502014637,0.10823774337768555,0.10755965113639832,0.10969662666320801,0.11478248238563538,0.10627972334623337,0.10879240185022354,0.10727735608816147,0.10500366985797882,0.10556202381849289,0.10797692090272903,0.10904336720705032
split18_train_score,0.10513509809970856,0.10058872401714325,0.10115145146846771,0.10610783845186234,0.10345489531755447,0.10150964558124542,0.10222800821065903,0.10315810143947601,0.10276186466217041,0.10521616041660309,0.10561829805374146,0.10789642482995987
split19_train_score,0.10464125871658325,0.10476245731115341,0.10249972343444824,0.11088235676288605,0.10409870743751526,0.10722097009420395,0.11109180748462677,0.1082945391535759,0.10933354496955872,0.10310766845941544,0.11498870700597763,0.10758473724126816
split20_train_score,0.10599496215581894,0.10682231932878494,0.11183430254459381,0.10949306935071945,0.11297440528869629,0.10766586661338806,0.10857164859771729,0.10366496443748474,0.10419922322034836,0.11194911599159241,0.11043383926153183,0.11022697389125824
split21_train_score,0.10434699058532715,0.1077597588300705,0.10666292160749435,0.10360721498727798,0.10304540395736694,0.10208228975534439,0.10324759781360626,0.10353356599807739,0.10238438099622726,0.11490125209093094,0.10572382807731628,0.10289087146520615
split22_train_score,0.10739836096763611,0.10589662939310074,0.10735463351011276,0.11132276803255081,0.10764459520578384,0.1070362851023674,0.11022376269102097,0.10942036658525467,0.10714660584926605,0.109682597219944,0.10469024628400803,0.11150364577770233
split23_train_score,0.1095353364944458,0.10341718047857285,0.11362757533788681,0.10230565816164017,0.108911894261837,0.1040729433298111,0.10959365963935852,0.10455238819122314,0.10451488941907883,0.11122805625200272,0.1106405258178711,0.10365421324968338
split24_train_score,0.10726755857467651,0.10748746246099472,0.10606677830219269,0.11003178358078003,0.10555768758058548,0.10503844916820526,0.11181528866291046,0.10982881486415863,0.11127176880836487,0.10613630712032318,0.10312142223119736,0.1058211699128151
split25_train_score,0.10486017912626266,0.10510848462581635,0.10293123126029968,0.10481659322977066,0.10641797631978989,0.10252968221902847,0.1018374040722847,0.10063692182302475,0.10769857466220856,0.1044062003493309,0.10642819851636887,0.1030563935637474
